#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Oct 11 19:55:25 2025

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       EasyH3V3SWDUG4A3_map.ncd
#OUTPUT FILE:      EasyH3V3SWDUG4A3_pad.csv
#PART TYPE:        xc6slx16
#SPEED GRADE:      -2
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
J4,,,GND,,,,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,3.30,,,,
J6,DioPort<60>,IOB,IO_L47N_M3A1_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
J7,DioPort<75>,IOB,IO_L47P_M3A0_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCAUX,,,,,,,,2.5,,,,
J13,DioPort<137>,IOB,IO_L39P_M1A3_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
J14,,,VCCO_1,,,1,,,,,3.30,,,,
J15,,,GND,,,,,,,,,,,,
J16,DioPort<158>,IOB,IO_L44P_A3_M1DQ6_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
J17,,,VCCO_1,,,1,,,,,3.30,,,,
J18,DioPort<180>,IOB,IO_L44N_A2_M1DQ7_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K1,DioPort<16>,IOB,IO_L38N_M3DQ3_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K2,DioPort<11>,IOB,IO_L38P_M3DQ2_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K3,DioPort<40>,IOB,IO_L42N_GCLK24_M3LDM_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K4,DioPort<35>,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K5,DioPort<55>,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K6,DioPort<53>,IOB,IO_L45N_M3ODT_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K7,,,VCCAUX,,,,,,,,2.5,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,DioPort<124>,IOB,IO_L34P_A13_M1WE_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K13,DioPort<139>,IOB,IO_L34N_A12_M1BA2_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K14,DioPort<144>,IOB,IO_L39N_M1ODT_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K15,DioPort<159>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K16,DioPort<157>,IOB,IO_L41N_GCLK8_M1CASN_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K17,DioPort<177>,IOB,IO_L45P_A1_M1LDQS_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
K18,DioPort<178>,IOB,IO_L45N_A0_M1LDQSN_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
L1,DioPort<9>,IOB,IO_L37N_M3DQ1_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
L2,DioPort<10>,IOB,IO_L37P_M3DQ0_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
L3,DioPort<33>,IOB,IO_L39N_M3LDQSN_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
L4,DioPort<34>,IOB,IO_L39P_M3LDQS_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
L5,DioPort<54>,IOB,IO_L43P_GCLK23_M3RASN_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
L6,DioPort<56>,IOB,IO_L31P_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
L7,DioPort<73>,IOB,IO_L45P_M3A3_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
L8,,,VCCINT,,,,,,,,1.2,,,,
L9,,,GND,,,,,,,,,,,,
